Month,Number,Change
2019-07,46628,0.0
2019-08,44441,-0.046903148322896104
2019-09,45528,0.02445939560315935
2019-10,45517,-0.00024160955895269343
2019-11,36413,-0.2000131818880858
2019-12,24712,-0.32134127921346767
2020-01,43474,0.759226286824215
2020-02,40103,-0.07754059897869992
2020-03,28364,-0.2927212427997905
2020-04,18068,-0.36299534621351004
2020-05,29530,0.6343812264777506
2020-06,36384,0.232102946156451
2020-07,34547,-0.05048922603342132
2020-08,33683,-0.025009407473876144
