Week,Number,Change
2019-07-01/2019-07-07,10508,0.0
2019-07-08/2019-07-14,10395,-0.010753711457936799
2019-07-15/2019-07-21,9689,-0.06791726791726793
2019-07-22/2019-07-28,9581,-0.01114666116214269
2019-07-29/2019-08-04,10236,0.06836447134954593
2019-08-05/2019-08-11,9551,-0.0669206721375537
2019-08-12/2019-08-18,9692,0.014762852057376152
2019-08-19/2019-08-25,10765,0.1107098638052002
2019-08-26/2019-09-01,10670,-0.008824895494658591
2019-09-02/2019-09-08,9795,-0.08200562324273664
2019-09-09/2019-09-15,12325,0.25829504849412976
2019-09-16/2019-09-22,11006,-0.1070182555780933
2019-09-23/2019-09-29,9730,-0.1159367617663093
2019-09-30/2019-10-06,10799,0.10986639260020548
2019-10-07/2019-10-13,10041,-0.07019168441522361
2019-10-14/2019-10-20,10005,-0.0035853002688974733
2019-10-21/2019-10-27,9665,-0.03398300849575209
2019-10-28/2019-11-03,9210,-0.04707708225556129
2019-11-04/2019-11-10,9045,-0.01791530944625408
2019-11-11/2019-11-17,9176,0.014483139856274141
2019-11-18/2019-11-24,8598,-0.06299040976460335
2019-11-25/2019-12-01,8055,-0.06315422191207254
2019-12-02/2019-12-08,7761,-0.0364990689013035
2019-12-09/2019-12-15,7123,-0.08220590130137873
2019-12-16/2019-12-22,5895,-0.17239926997051802
2019-12-23/2019-12-29,2403,-0.5923664122137404
2019-12-30/2020-01-05,6119,1.546400332917187
2020-01-06/2020-01-12,12182,0.9908481778068312
2020-01-13/2020-01-19,9937,-0.18428829420456416
2020-01-20/2020-01-26,8587,-0.1358558921203583
2020-01-27/2020-02-02,8197,-0.04541749155700481
2020-02-03/2020-02-09,10324,0.2594851775039648
2020-02-10/2020-02-16,9950,-0.036226268888027935
2020-02-17/2020-02-23,10218,0.026934673366834083
2020-02-24/2020-03-01,9602,-0.060285770209434375
2020-03-02/2020-03-08,9858,0.026661112268277387
2020-03-09/2020-03-15,9509,-0.03540271860417932
2020-03-16/2020-03-22,4061,-0.5729309075612578
2020-03-23/2020-03-29,3479,-0.14331445456784042
2020-03-30/2020-04-05,3544,0.01868352974992815
2020-04-06/2020-04-12,4410,0.24435665914221216
2020-04-13/2020-04-19,3549,-0.1952380952380952
2020-04-20/2020-04-26,3876,0.09213863060016902
2020-04-27/2020-05-03,4184,0.07946336429308576
2020-05-04/2020-05-10,6755,0.6144837476099427
2020-05-11/2020-05-17,7488,0.1085122131754257
2020-05-18/2020-05-24,7990,0.06704059829059839
2020-05-25/2020-05-31,7240,-0.09386733416770965
2020-06-01/2020-06-07,8429,0.16422651933701649
2020-06-08/2020-06-14,8390,-0.004626883378811231
2020-06-15/2020-06-21,8215,-0.020858164481525665
2020-06-22/2020-06-28,7681,-0.0650030432136336
2020-06-29/2020-07-05,8289,0.07915635984897795
2020-07-06/2020-07-12,7878,-0.049583785740137554
2020-07-13/2020-07-19,7385,-0.06257933485656253
2020-07-20/2020-07-26,7218,-0.02261340555179414
2020-07-27/2020-08-02,7475,0.03560543086727619
2020-08-03/2020-08-09,7800,0.04347826086956519
2020-08-10/2020-08-16,7745,-0.007051282051282026
2020-08-17/2020-08-23,7735,-0.0012911555842478606
2020-08-24/2020-08-30,8181,0.057659987071751795
2020-08-31/2020-09-06,8793,0.07480748074807475
