Week,Higher,Primary,Secondary,Higher Change,Primary Change,Secondary Change
2019-07-01/2019-07-07,880,22,796,0.0,0.0,0.0
2019-07-08/2019-07-14,969,38,770,0.10113636363636358,0.7272727272727273,-0.03266331658291455
2019-07-15/2019-07-21,837,26,709,-0.13622291021671828,-0.3157894736842105,-0.07922077922077919
2019-07-22/2019-07-28,810,24,706,-0.032258064516129004,-0.07692307692307687,-0.004231311706629048
2019-07-29/2019-08-04,857,24,782,0.05802469135802468,0.0,0.10764872521246449
2019-08-05/2019-08-11,924,25,718,0.07817969661610258,0.04166666666666674,-0.0818414322250639
2019-08-12/2019-08-18,752,28,780,-0.18614718614718617,0.1200000000000001,0.08635097493036215
2019-08-19/2019-08-25,910,27,788,0.2101063829787233,-0.0357142857142857,0.01025641025641022
2019-08-26/2019-09-01,995,24,774,0.0934065934065933,-0.11111111111111116,-0.017766497461928932
2019-09-02/2019-09-08,912,28,679,-0.08341708542713566,0.16666666666666674,-0.12273901808785526
2019-09-09/2019-09-15,1099,41,872,0.20504385964912286,0.4642857142857142,0.2842415316642122
2019-09-16/2019-09-22,879,39,787,-0.2001819836214741,-0.04878048780487809,-0.09747706422018354
2019-09-23/2019-09-29,801,25,771,-0.0887372013651877,-0.3589743589743589,-0.020330368487928796
2019-09-30/2019-10-06,1036,26,829,0.29338327091136085,0.040000000000000036,0.07522697795071331
2019-10-07/2019-10-13,924,21,771,-0.10810810810810811,-0.1923076923076923,-0.0699638118214716
2019-10-14/2019-10-20,874,22,725,-0.05411255411255411,0.04761904761904767,-0.05966277561608302
2019-10-21/2019-10-27,898,29,728,0.027459954233409523,0.3181818181818181,0.004137931034482678
2019-10-28/2019-11-03,928,27,643,0.03340757238307357,-0.06896551724137934,-0.11675824175824179
2019-11-04/2019-11-10,867,31,609,-0.06573275862068961,0.14814814814814814,-0.0528771384136858
2019-11-11/2019-11-17,825,26,645,-0.04844290657439443,-0.16129032258064513,0.059113300492610765
2019-11-18/2019-11-24,792,20,538,-0.040000000000000036,-0.23076923076923073,-0.16589147286821704
2019-11-25/2019-12-01,802,17,550,0.012626262626262541,-0.15000000000000002,0.02230483271375472
2019-12-02/2019-12-08,854,9,465,0.06483790523690769,-0.47058823529411764,-0.15454545454545454
2019-12-09/2019-12-15,682,21,481,-0.20140515222482436,1.3333333333333335,0.03440860215053765
2019-12-16/2019-12-22,551,8,325,-0.1920821114369502,-0.6190476190476191,-0.32432432432432434
2019-12-23/2019-12-29,206,4,150,-0.6261343012704175,-0.5,-0.5384615384615384
2019-12-30/2020-01-05,532,6,378,1.5825242718446604,0.5,1.52
2020-01-06/2020-01-12,1295,24,805,1.4342105263157894,3.0,1.1296296296296298
2020-01-13/2020-01-19,958,21,649,-0.2602316602316602,-0.125,-0.19378881987577645
2020-01-20/2020-01-26,887,10,528,-0.07411273486430059,-0.5238095238095238,-0.18644067796610164
2020-01-27/2020-02-02,834,16,572,-0.059751972942502785,0.6000000000000001,0.08333333333333326
2020-02-03/2020-02-09,1083,26,680,0.2985611510791366,0.625,0.18881118881118875
2020-02-10/2020-02-16,1021,37,680,-0.05724838411819022,0.42307692307692313,0.0
2020-02-17/2020-02-23,942,29,742,-0.07737512242899114,-0.21621621621621623,0.09117647058823519
2020-02-24/2020-03-01,986,36,699,0.04670912951167727,0.24137931034482762,-0.05795148247978432
2020-03-02/2020-03-08,881,23,673,-0.10649087221095332,-0.36111111111111116,-0.03719599427753939
2020-03-09/2020-03-15,950,31,666,0.0783200908059023,0.34782608695652173,-0.010401188707280795
2020-03-16/2020-03-22,329,7,300,-0.6536842105263159,-0.7741935483870968,-0.5495495495495495
