Week,Full time work,Part-time work,Full time work Change,Part-time work Change
2019-07-01/2019-07-07,9881,486,0.0,0.0
2019-07-08/2019-07-14,9828,449,-0.005363829571905732,-0.0761316872427984
2019-07-15/2019-07-21,9073,478,-0.07682132682132681,0.06458797327394206
2019-07-22/2019-07-28,9052,402,-0.0023145596825746573,-0.15899581589958156
2019-07-29/2019-08-04,9635,489,0.06440565620857264,0.21641791044776126
2019-08-05/2019-08-11,9011,453,-0.06476388168137004,-0.07361963190184051
2019-08-12/2019-08-18,9124,510,0.012540228609477344,0.1258278145695364
2019-08-19/2019-08-25,10181,498,0.11584831214379654,-0.02352941176470591
2019-08-26/2019-09-01,10031,538,-0.014733326785188128,0.08032128514056236
2019-09-02/2019-09-08,9167,554,-0.08613298773801215,0.029739776951672958
2019-09-09/2019-09-15,11492,729,0.2536271408312425,0.3158844765342961
2019-09-16/2019-09-22,10298,620,-0.1038983640793596,-0.14951989026063095
2019-09-23/2019-09-29,5699,324,-0.4465915711788697,-0.4774193548387097
2019-09-30/2019-10-06,6679,393,0.17195999298122477,0.21296296296296302
2019-10-07/2019-10-13,9417,581,0.40994160802515345,0.4783715012722647
2019-10-14/2019-10-20,9373,541,-0.004672400976956537,-0.0688468158347676
2019-10-21/2019-10-27,9100,507,-0.029126213592232997,-0.06284658040665436
2019-10-28/2019-11-03,8639,510,-0.050659340659340635,0.00591715976331364
2019-11-04/2019-11-10,8476,492,-0.018867924528301883,-0.03529411764705881
2019-11-11/2019-11-17,8669,432,0.02277017461066544,-0.12195121951219512
2019-11-18/2019-11-24,6600,403,-0.23866651286192175,-0.06712962962962965
2019-11-25/2019-12-01,7581,421,0.14863636363636368,0.04466501240694787
2019-12-02/2019-12-08,7266,434,-0.04155124653739617,0.030878859857482288
2019-12-09/2019-12-15,6716,359,-0.07569501789154964,-0.17281105990783407
2019-12-16/2019-12-22,5529,314,-0.17674210839785587,-0.12534818941504178
2019-12-23/2019-12-29,2285,97,-0.5867245433170556,-0.6910828025477707
2019-12-30/2020-01-05,5797,278,1.536980306345733,1.865979381443299
2020-01-06/2020-01-12,11466,599,0.977919613593238,1.1546762589928057
2020-01-13/2020-01-19,9417,442,-0.17870225013082153,-0.26210350584307174
2020-01-20/2020-01-26,8093,425,-0.14059679303387496,-0.038461538461538436
2020-01-27/2020-02-02,7741,370,-0.04349437785740762,-0.12941176470588234
2020-02-03/2020-02-09,9796,476,0.26546957757395684,0.28648648648648645
2020-02-10/2020-02-16,8920,407,-0.08942425479787663,-0.14495798319327735
2020-02-17/2020-02-23,8813,439,-0.011995515695067294,0.07862407862407861
2020-02-24/2020-03-01,9056,450,0.027572903665040283,0.02505694760820054
2020-03-02/2020-03-08,9313,478,0.028378975265017647,0.06222222222222218
2020-03-09/2020-03-15,9001,428,-0.03350155696338453,-0.10460251046025104
2020-03-16/2020-03-22,3826,171,-0.5749361182090879,-0.6004672897196262
2020-03-23/2020-03-29,3328,120,-0.13016204913748042,-0.29824561403508776
2020-03-30/2020-04-05,3370,152,0.01262019230769229,0.2666666666666666
2020-04-06/2020-04-12,4203,168,0.24718100890207717,0.10526315789473695
2020-04-13/2020-04-19,3347,151,-0.20366404948846062,-0.10119047619047616
2020-04-20/2020-04-26,3677,162,0.09859575739468185,0.07284768211920523
2020-04-27/2020-05-03,3951,193,0.07451726951319015,0.191358024691358
2020-05-04/2020-05-10,6420,276,0.624905087319666,0.43005181347150256
2020-05-11/2020-05-17,7138,292,0.11183800623052953,0.05797101449275366
2020-05-18/2020-05-24,7598,342,0.06444382179882324,0.17123287671232879
2020-05-25/2020-05-31,6912,275,-0.09028691760989738,-0.19590643274853803
2020-06-01/2020-06-07,7950,419,0.15017361111111116,0.5236363636363637
2020-06-08/2020-06-14,7953,380,0.00037735849056597104,-0.09307875894988071
2020-06-15/2020-06-21,7762,402,-0.02401609455551368,0.05789473684210522
2020-06-22/2020-06-28,7288,336,-0.061066735377480086,-0.16417910447761197
2020-06-29/2020-07-05,7866,363,0.0793084522502745,0.0803571428571428
2020-07-06/2020-07-12,7459,374,-0.05174167302313759,0.030303030303030276
2020-07-13/2020-07-19,7034,309,-0.056978147204719165,-0.1737967914438503
2020-07-20/2020-07-26,6827,341,-0.02942849019050331,0.10355987055016191
2020-07-27/2020-08-02,7129,301,0.04423612128314036,-0.11730205278592376
2020-08-03/2020-08-09,7424,340,0.041380277738813254,0.12956810631229243
2020-08-10/2020-08-16,7337,371,-0.01171875,0.09117647058823519
2020-08-17/2020-08-23,7307,379,-0.004088864658579827,0.02156334231805923
2020-08-24/2020-08-30,7690,421,0.052415491993978325,0.1108179419525066
2020-08-31/2020-09-06,8304,452,0.07984395318595583,0.07363420427553447
