Week,Number,Change
2019-07-01/2019-07-07,10887,
2019-07-08/2019-07-14,10740,-0.013502342243042142
2019-07-15/2019-07-21,10044,-0.06480446927374306
2019-07-22/2019-07-28,9909,-0.013440860215053752
2019-07-29/2019-08-04,10565,0.06620244222424065
2019-08-05/2019-08-11,9811,-0.07136772361571231
2019-08-12/2019-08-18,9938,0.012944653959841013
2019-08-19/2019-08-25,11074,0.11430871402696718
2019-08-26/2019-09-01,10939,-0.012190716994762485
2019-09-02/2019-09-08,10069,-0.07953194990401313
2019-09-09/2019-09-15,12690,0.260303903068825
2019-09-16/2019-09-22,11373,-0.10378250591016547
2019-09-23/2019-09-29,17539,0.5421612591224831
2019-09-30/2019-10-06,11074,-0.36860710416785447
2019-10-07/2019-10-13,10354,-0.06501715730540003
2019-10-14/2019-10-20,10289,-0.00627776704655203
2019-10-21/2019-10-27,9937,-0.034211293614539784
2019-10-28/2019-11-03,9484,-0.045587199355942465
2019-11-04/2019-11-10,9291,-0.02035006326444533
2019-11-11/2019-11-17,11033,0.18749327305995056
2019-11-18/2019-11-24,8838,-0.19894860871929665
2019-11-25/2019-12-01,8298,-0.06109979633401219
2019-12-02/2019-12-08,8002,-0.03567124608339356
2019-12-09/2019-12-15,7359,-0.08035491127218197
2019-12-16/2019-12-22,6085,-0.1731213480092404
2019-12-23/2019-12-29,2505,-0.5883319638455218
2019-12-30/2020-01-05,6311,1.51936127744511
2020-01-06/2020-01-12,12521,0.9839961971161464
2020-01-13/2020-01-19,10213,-0.18433032505390945
2020-01-20/2020-01-26,8842,-0.13424067365122883
2020-01-27/2020-02-02,8445,-0.044899344039809996
2020-02-03/2020-02-09,12100,0.4328004736530491
2020-02-10/2020-02-16,10261,-0.15198347107438015
2020-02-17/2020-02-23,10525,0.025728486502290204
2020-02-24/2020-03-01,9902,-0.05919239904988127
2020-03-02/2020-03-08,10194,0.029488992122803426
2020-03-09/2020-03-15,9799,-0.03874828330390423
2020-03-16/2020-03-22,4253,-0.5659761200122462
2020-03-23/2020-03-29,3632,-0.14601457794497996
2020-03-30/2020-04-05,3661,0.00798458149779746
2020-04-06/2020-04-12,4555,0.24419557497951372
2020-04-13/2020-04-19,3656,-0.19736553238199783
2020-04-20/2020-04-26,4017,0.09874179431072205
2020-04-27/2020-05-03,4319,0.07518048294747315
2020-05-04/2020-05-10,6894,0.5962028247279463
2020-05-11/2020-05-17,7657,0.11067595010153752
2020-05-18/2020-05-24,8178,0.06804231422228035
2020-05-25/2020-05-31,7401,-0.09501100513573002
2020-06-01/2020-06-07,8657,0.16970679637886765
2020-06-08/2020-06-14,8618,-0.004505024835393279
2020-06-15/2020-06-21,8470,-0.017173358087723356
2020-06-22/2020-06-28,7901,-0.06717827626918538
2020-06-29/2020-07-05,8537,0.08049613972914815
2020-07-06/2020-07-12,8108,-0.05025184491039003
2020-07-13/2020-07-19,7602,-0.06240749876665019
2020-07-20/2020-07-26,7437,-0.021704814522494065
2020-07-27/2020-08-02,7674,0.03186768858410649
2020-08-03/2020-08-09,8034,0.04691164972634865
2020-08-10/2020-08-16,8013,-0.002613890963405474
2020-08-17/2020-08-23,7974,-0.004867090977162092
2020-08-24/2020-08-30,8425,0.056558816152495694
2020-08-31/2020-09-06,9046,0.07370919881305649
